Date,All items,Energy,All items less food and energy,Purchasing power of the consumer dollar,Apparel,Men and boy apparel,Commodities,Energy commodities,Education,Communication,Information and information processing,Food and beverages,Food at home,"Meats, poultry, fish, and eggs",Meats,Fruits and vegetables,Alcoholic beverages,Personal care,Housing,Shelter,Fuels and utilities,Household energy,Household furnishings and operations,Medical care,Medical care commodities,Rent of shelter,Transportation,Men apparel,"Men suits, sport coats, and outerwear",Men pants and shorts,Boy apparel,Women apparel,Women outerwear,Women dresses,Women suits and separates,"Women underwear, nightwear, swimwear and accessories",Girl apparel,Men footwear,Women footwear,Jewelry and watches,Watches,Jewelry,Telephone services,Wireless telephone services,Computer software and accessories,Internet services and electronic information providers,Pork,Ham,Pork chops,Poultry
2022-07-01,0.00035452491972542965,0.0656085037266021,-0.0051551595340165735,0.0,-0.016806986680070413,-0.017023080623201237,0.009911072798817422,0.13305291617090909,-0.01024369280193893,0.0011203435720288368,0.0011173500417236415,-0.007363474315345897,-0.006898141400034641,-0.0022768113351334662,0.0018069628717336528,-0.004026560146378033,-0.004654841506819052,-0.006304961647060625,-0.007155852429837073,-0.006518988759012911,-0.012726844213999389,-0.01435282328698495,-0.005643994211288139,-0.006987346163645158,-0.002442255365289747,-0.006606092941078723,0.03190127767872353,-0.017940469175518836,-0.011411959507771074,-0.014262136829321426,-0.013938959163844133,-0.024268018018018034,-0.02484082769598095,-0.021360629617111715,-0.02349361258840943,-0.026218309072633228,-0.04155381253964574,-0.0021365952020083734,-0.008587311870075331,0.0038650535181425916,0.001177879296656359,0.004484899248805796,-0.0001695705625502919,0.0004822510640976052,-0.018106709906570928,0.000798094549263606,0.0009276437847867136,-0.02427563979832792,-0.003502685253362392,-0.00823436107820208
2022-06-01,0.0001181330921167234,0.04766338769602374,-0.0032674211726185787,-0.002958579881656598,0.011430808064670783,0.015435145020693541,0.005806908142054645,0.0827754168351098,-0.0014663278452810014,0.003330624425467388,0.003433076205815233,-0.010810440188325776,-0.01395355187526437,-0.006383961828245965,-0.0034956459649505556,-0.003642065416760487,-0.0029415624179862654,-0.003979637264580171,-0.004630747501877086,-0.005544677194415981,0.001621991059428174,0.0032754554870568775,-0.004885959623261216,-0.005176849927760685,-0.005870635797547763,-0.005597463059172636,0.020382996723520952,0.013930219169862701,0.0163115370340412,-0.0011451587426947185,0.020471875345342117,0.012041471906438117,0.03316568560439892,0.03464472139170938,0.011973274192189853,9.557762336687148e-05,0.03932135728542918,0.014426132980040363,-0.0025605178780374604,-0.014961863964057964,-0.011530936579848827,-0.015753724687168624,0.0003603985584057501,0.00016765864699452848,0.019187669563165866,0.008149024982867292,-0.009057375687241853,0.006217858048058744,-0.022283913252207244,-0.012074003869999572
2022-05-01,-0.013549952583603031,-0.07085595614181739,-0.0073774942310304015,0.014836795252225476,0.0027720958150041497,0.0056930490892754815,-0.019114161716273226,-0.08472508059081707,-0.004298515123216995,0.0003983481828682134,0.00039422738472350005,-0.009525789937517848,-0.010145940931308162,-0.003736041251463207,0.00022119138039000674,0.0029360470237291825,-0.004547830823617871,-0.004430849595976394,-0.010165256025547853,-0.006762671864508629,-0.036370403502528625,-0.04535619047619055,-0.005919797194712695,-0.005906163517871099,-0.0039042051435451697,-0.006736309577121569,-0.03640336701283009,0.008148936000063944,-0.004129484142219031,0.017568689464320997,-0.0024726787051827515,0.013884401193621443,-0.015887592076939683,0.023470730730348777,0.00527082321936323,0.030295211063008365,0.003820767590187346,-0.016819803834915326,-0.004029647234473632,-0.016228600521860925,-0.0014269462692260149,-0.019625296256179814,0.0008476911013626243,0.0012991367027073153,-0.022182786157941448,0.0012853947026907342,-0.0005738218022476316,-0.03271728576129751,0.014670782683694261,-0.015126229568264593
2022-04-01,-0.010903330870077,-0.05774700799656529,-0.005675097262962003,0.011695906432748426,0.0012286366858313968,-0.00025177256003960924,-0.015371442916315536,-0.07417172420654661,-0.0025379802116296535,0.003119151590767366,0.003251094253585496,-0.01055048470246367,-0.013260920500921425,-0.014384194532735872,-0.003662866753877725,-0.006466741219108063,-0.0033676958276563917,-0.0036463437010778588,-0.008758913344165786,-0.006249643448000386,-0.029862478104576318,-0.03804959416426568,-0.0043857190897880205,-0.003630254945831468,-0.0025008219575274326,-0.006331137336768933,-0.026943073187449373,-0.001094664699443193,-0.018542199488491118,0.0039006348244325917,0.0025873689352884366,0.007226747401276601,-0.009853007575377548,0.022084517541816284,0.016129699896516136,-0.0068641182854546345,0.0255057345107792,-0.00422657104329216,0.0006654021476428795,-0.010641738905421194,0.00680908228848387,-0.01472373847315056,0.00029644059542222045,0.000146486418616254,-0.012625266314211347,-0.005122634638885182,-0.008250628210959454,-0.02100501499458185,0.017648321221327645,-0.0295299425703327
2022-03-01,-0.005551539384799353,-0.0007471462697968834,-0.005298336576745055,0.005780346820809079,0.014104117175086195,0.014395268733346178,-0.0026861281966064077,0.00754123905217341,-0.0009294914354004424,0.0038371969937547323,0.003984063745019695,-0.009602074667834248,-0.012577925368849607,-0.017020029059372055,-0.007008790686623967,-0.005545324631318405,-0.0037733624196686355,-0.00431796185930966,-0.005696693411547216,-0.005083398155510066,-0.010347874372684251,-0.012569536918347834,-0.005291675462669843,-0.003279687543281229,-0.0005787592750715609,-0.00513952900025294,-0.008868755901263459,0.01438917476653323,-0.034671392987162264,0.02205125426667376,0.014392319283903277,0.018891101639710417,0.02118905991913489,0.014158727264439008,0.029248818641029795,0.004744692575677112,0.0008935234279878745,0.011069414594379712,0.0024152558566132853,0.022182626606074507,-0.010811694682451356,0.030070721985988813,-0.0015135158019516926,-0.0003138534931893533,0.013945496683449132,-0.0015633142261595179,-0.008984658413813018,0.04413411416436075,-0.019008671129727817,-0.028682454214369213
2022-02-01,-0.013175468863041995,-0.10218075011902916,-0.004306873368935871,0.011494252873563315,-0.008152405774168425,0.0010250824871063102,-0.023267916569659874,-0.16400152522351719,-2.8736870842038797e-05,0.005285635198903238,0.005463335568969496,-0.009589749170248685,-0.014514809125235284,-0.012703365277468182,-0.012734462067358954,-0.011342121403365213,-0.00452743090489427,-0.004915174864527638,-0.00706117986082011,-0.005801776018556359,-0.015329456270114616,-0.019867327090396514,-0.007442097369798617,-0.005200661801352147,-0.0020255320916995334,-0.00588197897634779,-0.04300160665343533,0.0014404258650384527,0.009904625797679811,-0.005785774869744409,-0.00035581490508640456,-0.01456780651760925,0.022118800484251855,-0.04229669717182971,-0.02803504050238792,0.007250755287009136,-0.0118801196841124,-0.004471246751515889,-0.007525676510282242,-0.026887996886877374,0.015155021588632467,-0.03654363302238106,0.006307041626474774,0.007095315835740301,0.009773399014778361,0.0003355204294661629,-0.013424677280469366,-0.023244251598376175,-0.0191620300118025,-0.014883120144956075
2022-01-01,-0.009051304825952622,-0.026582415571514417,-0.007161727285035502,0.011363636363636243,-0.02963212062439391,-0.0323850363211623,-0.014217610768367916,-0.05124999202607783,-0.0010525181406710882,0.0003277957701235401,0.0004446976750649423,-0.01023197044402635,-0.014047521925351747,-0.009291594741734244,-0.007672267272964994,-0.018652880797182858,-0.00883965993876501,-0.011500344061187495,-0.00554023272407933,-0.005812418203925196,-0.0009819662260959205,0.00031290184312027236,-0.008153607115875317,-0.0035088242086521726,-0.0034347807985344314,-0.005872294282020185,-0.018668773454473597,-0.03951564991713841,-0.0325867982193222,-0.04276225587276428,-0.008418017761483543,-0.04751930153021966,-0.0221935283438347,-0.0519557320266959,-0.053493138598944,-0.04317290388076234,-0.03915650689011563,-0.010026840875775545,-0.021857041885621098,0.04590000493018298,-0.0091904461046447,0.05922988287149433,-0.0016432468873111006,-0.0009144377247126689,0.004800374663388229,0.00062112572827,-0.006578745001537767,-0.026838861662074276,0.00011173472457404188,-0.01694365832960021
2021-12-01,-0.008344359554398384,-0.017057160285897432,-0.007300801409809821,0.008426966292134797,-0.02426679776593943,-0.029417600952475365,-0.010980570648308818,-0.0035736618098932693,-0.000658067439326504,7.864520526390528e-05,-6.945312608519494e-05,-0.0093941664585242,-0.01165818899121207,-0.002804574438498686,0.0030463605952615325,-0.016857484020510016,-0.005019700167573249,-0.009573761572129302,-0.008203139822483774,-0.003978354018050023,-0.028436852036533344,-0.03401421758301082,-0.01706644055129991,-0.009386073772820525,-0.00880715643473351,-0.004061049999580457,-0.007748848742472614,-0.031008635213113145,-0.04203447680383565,-0.03797246757380446,-0.024247971857276118,-0.019451958819064807,-0.043855555665875734,0.016109229885740373,-0.013881718579705216,-0.03345004195723256,-0.02424054556726596,-0.015828155320112836,-0.005411603924001973,-0.072058577055225,-0.01343693711460825,-0.08532109607270533,-0.00045369178501342144,0.0013729120296217534,-0.002563505010487077,-0.0008442066319881425,-0.0006115284728431813,-0.0358484448959302,0.007055689240288654,-0.007913895629943712
2021-11-01,-0.003063105716601844,0.011291650891661842,-0.004064697014525831,0.0027855153203342198,0.010861664519113301,0.015776471590425167,-0.004285673195846718,0.02106676653474615,0.0006944844262766203,-5.24260137880761e-05,-0.00016669908037669767,-0.004860692823824286,-0.004376670217338452,0.005456915901667969,0.014035413709917677,-0.01085636363071596,-0.0017067932632531813,-0.004507979851430588,-0.004184187735425837,-0.0036455173909347716,-0.001428935387751018,-0.0009492758444784588,-0.010541937464817575,-0.002167818182504222,-0.00033718727855613917,-0.0036619852790439333,-0.003922936807045807,0.01802467684089404,0.044377286464132304,0.0065427054210986935,0.006870229007633677,0.01605684400647056,0.030259605399792333,0.030616321559074233,0.01494968297364907,0.00948018641040238,0.011902492746256765,0.005276174773289455,0.0004343362552319263,-0.013856747756392118,-0.03305036182150145,-0.007551527048092033,0.00028500554177446347,0.000768607573900626,-0.005451713395638658,-0.004150047837377602,0.021912312023887548,0.03896127186807874,0.010756863314018483,-0.0010680848044396507
2021-10-01,-0.004889403773367662,-0.014519490544191549,-0.004021163272668105,0.005555555555555536,0.015851874851899428,0.0015095352308749366,-0.007577945962601418,-0.02745551572025695,-0.00017979338144591406,0.0012713974886624513,0.0013338149887458517,-0.0043108302131134035,-0.003401105171481844,-0.006185918430093418,-0.007039049665108044,-0.00037684181436770103,-0.0007888072404201862,-0.0005599626691553672,-0.003485756597789713,-0.0039000344120684316,0.000491783881320984,0.0010034588248875043,-0.004433115371827556,-0.0024826188319779785,-0.0012648787956246466,-0.003974215515224588,-0.018286822084290444,0.003225939523947119,-0.007675906183368886,-0.0013887861680184077,-0.005297916457338014,0.026937539678663747,0.0601124841252243,0.04019212041563058,0.024042870243007775,0.01901956326179577,0.02448774566232026,-0.0007380679022470638,0.00555709042112329,0.05451735683827952,0.01667654395854279,0.06664262195902326,0.0003482408560393502,0.0,0.014173844949099568,-0.0008234868429261022,-0.006328898051684795,0.01856454870281188,-0.0016041674581968035,-0.007944430113315581
